"Allergens  Menu Items                                                                                                   Salt located on tables contain Salt, Dextrose, Potassium Iodide, Sodium Bicarbonate, Yellow Prussiate of Soda.  Salt used in kitchen is  Morton Coarse Kosher Salt [Salt, Yellow Prussiate of Soda].   Mycoprotein is a old.(member of the fungi family. There have been rare cases of allergic reactin to products that contain Mycoprotein. Quorn™ is a Mycoprotein produced using a fermentation process very similar to brewing; the solid is harvested as opposed to the liquid. Processed in a facility that handles milk.                                     ",,Egg,Fish/ Shellfish,"Nitrites, Nitrate, Sodium Erythrobate, Carrageenan ",Corn in original form,"Corn Syrup, Corn Flour or meal, Corn Starch",Corn oil,Corn Variations,Vinegar,Milk/Dairy,MSG,Soybean  Oil,Soy Lecithin,Soy,Tree Nuts/Peanuts,Peanut oil,Capers,Sesame,"Wheat, Barley, Rye, Oats","Lima,lentil, Fava,                   black eyed peas,             garbanzo beans ",Mushroom, Yeast or Spice Extract ,Hydrolyzed Protein,Yeast,Nonorganic Cane Sugar,White Rice,Brown Rice,White Potato all forms,Mint,Cinnamon,Fruit,Cucumber,Tomato,Natural Flavor,Sunflower oil,Sunflower Lecithin,Sunflower Seed,Garlic,Onion,Bell Pepper,Turmeric,Mustard,Cocoa or Chocolate,Red Dye,Yellow Dye,Alcohol,Pork,Chicken,Beef,Turkey,Phenylketonurics,Ingredients,,,,,,,,,,,,,,,,,,,,,,,,
         Allergy Alerts                                                                                                                                                                                                                                      All deep fried items have cross contact risk                                                                    (All pasta has possible cross-contact w/eggs in manufacture),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vegalene Top 9 Allergen Free Canola Pan Spray [Canola Oil, Canola Lecithin, Mono - and Diglycerides, Natural Flavor, and Propellant]used in all areas.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desserts available on purple Cart in Home area for Gluten Free and Top 8 free,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%Sizzle%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Taco Shells and Bowls are Fried. All fried items have Cross contact with other allergens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%Casa Del Sol%,,,,,,All Fried Items fried in same fryer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tortillas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grated Parmesan Cheese (0.2 oz.),,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Roseli Imported Argentina Grated Parmesan Cheese [Imported Parmesan Cheese (Pasteurized Part-Skim Cow's Milk, Cheese Cultures, Salt, Enzymes), Powdered Cellulose Added to Prevent Caking, Natamycin (A Natural Mold Inhibitor)]. Contains: Milk",,,,,,,,,,,,,,,,,,,,,,,,
Provolone Cheese,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Roseli .75 Sliced Smoked Provolone Cheese [Smoked Provolone Cheese (Pasteurized Milk, Cheese Culture, Salt, Enzymes, with Smoke Flavor Added). Contains: Milk",,,,,,,,,,,,,,,,,,,,,,,,
Garlic Butter,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,"[Tulkoff Chopped Garlic in Oil [Garlic, Water, Soybean Oil, Phosphoric Acid Preservative. Contains: Naturally Occurring Sulfites], Wesson Move Over Butter [Soybean Oil, Cottonseed Oil, Hydrogenated Soybean Oil, Soy Lecithin, Hydrogenated Cottonseed Oil, Monoglycerides, Natural and Artificial Flavor, TBHQ For Freshness, Beta Carotene Color. Contains: Soy.], Parsley Flakes",,,,,,,,,,,,,,,,,,,,,,,,
Parsley Flakes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tulkoff Chopped Garlic in Oil (1oz)(Naturally Occurring Sulfites),,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,"Garlic, Water, Soybean Oil, Phosphoric Acid. Contains: Naturally Occurring Sulfites",,,,,,,,,,,,,,,,,,,,,,,,
Whole Garlic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Garlic,,,,,,,,,,,,,,,,,,,,,,,,
Butter Alternative (1Tbsp),,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,"Phase Soybean Butter Alternative [Liquid and Hydrogenated Soybean Oil, contains less than 2% of: Salt, Sunflower Lecithin, Natural Flavor, Beta Carotene Color.], Contains: Soy", ,,,,,,,,,,,,,,,,,,,,,,,
%Chick-fil-A% ( all chicken cooked in peanut oil) opens August 17th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , , , , , , , , , ,  , , , , , , , ,  , 
Chicken Nuggets (8 nuggets) (spices),,X,,,,,,,,X,X,X,,,,X,,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,X,,,,"Chicken (Boneless, Skinless Chicken Breast Meat Nuggets, Salt, Monosodium Glutamate, Sugar, Spices, Paprika, Enriched Bleached Flour [With Malted Barley Flour, Niacin, Iron, Thiamine Mononitrate, Riboflavin, Folic Acid], Sugar, Salt, Monosodium Glutamate, Nonfat Milk, Leavening [Baking Soda, Sodium Aluminum Phosphate, Monocalcium Phosphate], Spice, Soybean Oil, Color [Paprika], Pasteurized Nonfat Milk, Pasteurized Egg, Fully Refined Peanut Oil [With Dimethylpolysiloxane {An Anti-Foam Agent} Added]", , , , , , , , , , , ,  , , , , , , , ,  ,   , , , 
"Chargrill Chicken Breast (no bun, no pickle) (smoke flavor)",,,,,,X,,,"apple cider, distilled",,,X,,,,,,,,,,yeast,,,X,,,,,,lemon,,,X,,,,X,X,X,,,,,,,,X,,,,"Grilled chicken (boneless skinless chicken breast, water, apple cider vinegar, soybean oil, modified corn starch, salt, yeast extract, sugar, chicken breast meat, chicken broth, dehydrated onion, dehydrated garlic, sea salt, cane molasses, spices, chicken fat, natural flavor [including smoke], lemon peel, red bell pepper, paprika, lemon juice concentrate, parsley and vinegar solids)",,,,,,,,,,,,,,,,,,,,,,,,
Grilled Nuggets (smoke flavor),,,,,,X,,X,"apple cider, distilled",,,X,,,,,,,,,,yeast,,,X,,,,,,lemon,,,X,,,,X,X,X,,,,,,,,,,,,"Chicken (boneless skinless chicken breast, water, apple cider vinegar, soybean oil, modified corn starch, salt, yeast extract, sugar, chicken breast meat, chicken broth, dehydrated onion, dehydrated garlic, sea salt, cane molasses, spices, chicken fat, natural flavor [including smoke], lemon peel, red bell pepper, paprika, lemon juice concentrate, parsley and vinegar solids, xanthan gum, and calcium disodium EDTA [to protect quality]).", , , , , , , , , ,  , , , , ,  , , ,  , , , , , , 
Chargrill Chicken Sandwich (1 sandwich) (pea protein),,,,,,X,,X,"apple cider, distilled",,,X,,,,,,,X,,,yeast,,X,X,X,,X,,,lemon,,X,X,X,,,X,X,X,,,,,,,,X,,,,"Grilled chicken (boneless skinless chicken breast, water, apple cider vinegar, soybean oil, modified corn starch, salt, yeast extract, sugar, chicken breast meat, chicken broth, dehydrated onion, dehydrated garlic, sea salt, cane molasses, spices, chicken fat, natural flavor [including smoke], lemon peel, red bell pepper, paprika, lemon juice concentrate, parsley and vinegar solids), brioche bun (water, enriched flour [wheat flour, malted barley flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid], grain blend [whole wheat flour, whole grain yellow corn flour, organic whole grain oat flour, whole grain barley flour, whole grain triticale flour, whole grain rye flour], sugar, yeast, soybean oil, honey, wheat gluten, contains less than 2% of each of the following: wheat bran, salt, rolled oats, cultured wheat flour blend [wheat flour, cultured wheat flour], dextrose, guar gum, yellow corn flour, vegetable and grain protein blend [pea, potato, rice], maltodextrin, wheat flour, organic corn starch, enzymes, sunflower oil and canola oil, medium chain triglycerides, organic rice concentrate, natural flavors, calcium sulfate, monoglycerides, wheat starch, crushed wheat, vinegar, propionic acid, phosphoric acid, modified food starch, turmeric color, gum arabic, corn starch, paprika color, ascorbic acid added as a dough conditioner), tomatoes, green leaf lettuce.", , , , , , , , , , , , , , , , , , , , , , , , 
"Classic Chicken Breast (no bun, no pickle) ",,X,,,,,,,,X,X,X,,,,X,,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,X,,,,"Chicken (Boneless, Skinless Chicken Breast With Rib Meat, Salt, Monosodium Glutamate, Sugar, Spices, Paprika, Enriched Bleached Flour [With Malted Barley Flour, Niacin, Iron, Thiamine Mononitrate, Riboflavin, Folic Acid], Sugar, Salt, Monosodium Glutamate, Nonfat Milk, Leavening [Baking Soda, Sodium Aluminum Phosphate, Monocalcium Phosphate], Spice, Soybean Oil, Color [Paprika], Pasteurized Nonfat Milk, Pasteurized Egg, Fully Refined Peanut Oil [With Dimethylpolysiloxane {An Anti-Foam Agent} Added])", , , , , , , , , , , ,  , , , , , , , , , , , , 
Classic Chicken Sandwich (1 sandwich),,X,,,,X,,,,X,X,X,X,X,,X,,,X,,,,,X,X,,,,,,,,,X,,,,,,,,,,,,,,X,,,,"[Chicken (Boneless, Skinless Chicken Breast With Rib Meat, Salt, Monosodium Glutamate, Sugar, Spices, Paprika, Enriched Bleached Flour [With Malted Barley Flour, Niacin, Iron, Thiamine Mononitrate, Riboflavin, Folic Acid], Sugar, Salt, Monosodium Glutamate, Nonfat Milk, Leavening [Baking Soda, Sodium Aluminum Phosphate, Monocalcium Phosphate], Spice, Soybean Oil, Color [Paprika], Pasteurized Nonfat Milk, Pasteurized Egg, Fully Refined Peanut Oil [With Dimethylpolysiloxane {An Anti-Foam Agent} Added]), Bun (Enriched Wheat Flour [Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamin Mononitrate, Riboflavin, Folic Acid], Water, Sugar, Yeast, Soybean Oil, Wheat Gluten, Contains 2% Or Less Of Salt, Cultured Wheat Flour, Vinegar, Calcium Sulfate, Monoglycerides, DATEM, Calcium Propionate, Ascorbic/Citric Acid, Enzymes, Soy Lecithin, Potassium Iodate), Bun Oil (Soybean Oil, Palm Kernel Oil, Soy Lecithin, Natural Flavor, Beta Carotene), Pickle (Cucumbers, Water, Vinegar, Salt, Contains Less Than 2% of Alum, Calcium Chloride, Potassium Sorbate (Preservative), Natural Flavor, Polysorbate 80, Yellow 5, Blue 1]", , , ,  , , , , , , , , , , , , , , , , , , , , 
Waffle Fry (medium) (Cooked in canola oil) (has dedicated fryer),,,,,,X,,X,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,"Potatoes (Vegetable Oil [Canola, Palm], Modified Food Starch (Corn, Potato Tapioca), Rice Flour, Pea Starch Dextrin, Leaving (Disodium Dihydrogen Pyrophosphate, Sodium Bicarbonate), Dextrose Xanthan. Deep Fried in Harvest Value Liquid Canola Oil [Canola Oil with TBHQ to help protect flavor. Dimethylpolysiloxane, an antifoaming agent, added.]", , , , , , , , , , , , , , ,  , ,, ,, , ,, , 
Harvest Value Mayonnaise (1 packet),,X,,,,X,,,,,,X,,,,,,,,,,,,,X,,,,,,,,,X,,,,X,X,,,,,,,,,,,,,"soybean oil, eggs, vinegar, water, egg yolks, salt, sugar, lemon juice concentrate, natural flavor, calcium disodium EDTA (to protect flavor)",, ,,,,,,,,,,,,,, ,,,,,,,,
 Chic-Fil-A Garlic & Herb Ranch sauce (1 oz.)(contains gelatin),,X,,,,X,,X,distilled,X,,X,,,,,,,,,,,,,X,,,,,,,,,X,,,,X,X,X,,,,,,,,,,,,"Soybean oil, buttermilk, water, sour cream (cream, modified corn starch, lactic acid, gelatin, guar gum, mono and diglycerides, sodium phosphate, acetic acid, citric acid, phosphoric acid, natural and artificial flavors), distilled vinegar, egg yolk, salt, garlic (including dehydrated), sugar, buttermilk powder, glucono delta lactone, dehydrated onion, potassium sorbate and sodium benzoate added as preservatives, mustard seed, xanthan gum, spice, green onion, calcium disodium EDTA added to protect flavor. This item contains egg, milk and soybean oil", , , , , , , , , , ,  , , , , , ,  , , , ,  , , ,  
Chic-Fil-A Sauce Barbeque (1 oz.),,,,,,X,,,,,,,,`,,,,,,,,,,,,,,,,,pineapple,,X,X,,,,X,X,,,,,,,,,,,,,"water, high fructose corn syrup, tomato paste, brown sugar, distilled vinegar( grain source varies), corn syrup, pineapple juice concentrate, salt, modified food starch ( from corn), spices, natural and artificial flavors ( from spice extractives [oils and oleoresins] and smoke flavor) caramel color ( from corn syrup), potassium sorbates and sodium benzoate added as preservatives, onion, garlic*, * dehydrated", , , , , , , , , , , , , ,  , , , , ,  , , , , , 
Chic-Fil-A Sauce Zesty Buffalo (1 oz.),,X,,,,X,,X,distilled/cider,X,,X,,,,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,"Water, Cayenne Red Pepper, Distilled Vinegar, Soybean Oil, Salt, Egg Yolk, Butter (Cream, Natural Flavor), Interesterified Soybean Oil, Natural Flavor, Dehydrated Garlic, Xanthan Gum, Potassium Sorbate and Sodium Benzoate Added as Preservatives, Propylene Glycol Alginate, Calcium Disodium EDTA Added To Protect Flavor. This Item Contains Milk & Egg", , , , , , , , , , , , , ,  , , , , , ,  , , , , 
Chic-Fil-A Sauce Honey mustard (1 oz.),,,,,,X,,,,X,,X,,,,,,,,,,,,,X,,,,,,,,,X,,,,X,X,,,,,,,,,,,,,"Water, high fructose corn syrup, honey, spices, distilled vinegar(grain source varies), modified food starch (from corn), salt, soybean oil, molasses, sodium benzoate added as preservative, xanthan gum, onion*, caramel color (corn syrup derived), garlic*, natural flavors (natural flavor from essential oil of fruit and mustard seed), oleoresin, turmeric, anchovies, tamarind.", , , , , , , , , , , , , ,  , , , ,  , , , , , , 
Chic-Fil-A Sauce Honey roasted BBQ (1 oz.),,X,,,,X,,,,,,X,,,,,,,,,,,,,X,,,,,,,,X,,,,,X,X,,,,,,,,,,,,,"Soybean oil, water, high fructose corn syrup, distilled vinegar, mustard (distilled vinegar (grain source varies), water, mustard seed, salt, turmeric, paprika, spice, garlic), tomato paste, egg yolk,onion, salt, sugar, natural flavors including smoke flavor, spices, honey, potassium sorbate and sodium benzoate added as preservatives, lemon juice concentrate, xanthan gum, dehydrated garlic and onion, caramel color (from corn), propylene glycol alginate, calcium disodium EDTA added to protect flavor.", , , , , , , , , , , , , , , , , , , , , , ,,
Chic-Fil-A Sauce Polynesian (1 oz.),,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,X,X,,,,X,X,,,,,,,,,,,,,"High fructose corn syrup, soybean oil, corn-cider vinegar, distilled vinegar, tomato paste, salt, paprika, modified food starch, spices, honey, beet juice concentrate,natural flavors,xanthan gum, onion*, garlic*, propylene guycol alginate, * dehydrated",,,,,,,,,,,,,,,,,,,,,,,,
Chic-Fil-A sauce (1 oz.),,X,,,,X,,X,distilled/cider,,,X,,,,,,,,,,,,,X,,,,,,lemon,,X,X,,,,X,X,X,,,,,,,,,,,,"Soybean oil, sugar, BBQ sauce (tomato paste, corn syrup, vinegar, natural hickory smoke flavor, caramel color, spices, garlic*, onion*, natural flavor, oleoresin paprika), water, mustard (distilled vinegar, water, mustard seed, salt, turmeric, paprika, spice, garlic*), distilled vinegar, egg yolk, salt, cider vinegar, lemon juice concentrate, mustard flour, natural flavor, xanthan gum, garlic*, calcium disodium EDTA added to protect flavor. *dehydrated. This item contains egg, soybean oil",,,,,,,,,,,,,,,,,,,,,,,,
Fresh Lettuce leaf ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf lettuce,,,,,,,,,,,,,,,,,,,,,,,,
Fresh Lettuce shred ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shredded lettuce,,,,,,,,,,,,,,,,,,,,,,,,
Fresh Tomato slice ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,tomato slice,,,,,,,,,,,,,,,,,,,,,,,,
Dill Pickle Slices,,,,,,,,X,distilled,,,,,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,"Pickle (Cucumbers, Water, Vinegar, Salt, Contains Less Than 2% of Alum, Calcium Chloride, Potassium Sorbate (Preservative), Natural Flavor, Polysorbate 80, Yellow 5, Blue 1]",,,,,,,,,,,,,,,,,,,,,,,,
Served in Athens When Open ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Halal Beef Gyros Meat (3.5oz) (spices),,,,,,,,,,,X,X,,X,,,,,X,,,,,X,,,,,,,,,,,,,,X,X,,,,,,,,,,X,,,"Kronos Halal Beef GyroKone [Beef, Water, Breadcrumbs, (Bleached Wheat Flour, Water, Salt, & Yeast, May Contain Soybean Oil, Calcium Propionate), Soy Protein Concentrate, Contains Less Than 2% of Salt, Spices, Garlic & Onion Powder, Monosodium Glutamate.] Contains Soy and Wheat",,,,,,,,,,,,,,,,,,,,,,,,
Halal Chicken Gyro meat (5oz) (spices),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lemon,,,,,,,X,X,,,,,,,,,X,,,,"Koch Halal Boneless Skinless Chicken Thigh (Chicken), Thirster Reconstituted Lemon Juice [Filtered Water, Lemon Juice Concentrate, Sodium Bisulfite (Preservative), Sodium Benzoate (Preservative) and Lemon Oil.], Roseli Canola/ Extra Virgin Olive Oil Morton Coarse Kosher Salt (Salt, Yellow Prussiate of Soda), Chicken Gyro Spice [Monarch Mild Chili Powder {Chili Pepper, and Other Spices, Salt, and Garlic Powder}, Ground Coriander, Ground Cumin, Dried Parsley, Spanish Paprika [Paprika and less than 2% Silicon Dioxide to Prevent Caking.], Monarch Garlic Powder [Dehydrated Garlic], Monarch Onion Powder [Dehydrated Onion]. ",,,,,,,,,,,,,,,,,,,,,,,,
Sweiss Bros.Pocket Bread small (1pita or 2oz),,,,,,,,,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Enriched Flour, Water, Yeast, Salt, Calcium Propionate Added to retard Spoilage",,,,,,,,,,,,,,,,,,,,,,,,
Vegetable Curry,,,,X,,,,X,,X,,X,,,,,,,,,,spice,,,X,,,X,,X,citric acid,,X,X,,,,X,X,X,X,,,,,,,,,,,"Roseli Canola/Extra Virgin Olive Oil, Cloves, Cardamom, Cinnamon Stick, Black Peppercorn, Bay Leaf, Yellow Onion, Tulkoff Garlic in Oil [Garlic, Water, Soybean Oil, Phosphoric Acid. Contains: Naturally Occurring Sulfites], Tomatoes, Monarch-D Tomato Puree [Tomato Puree (Water, Tomato Paste), less than 2% of: Citric Acid*. *Naturally Derived.], Carrots, Cauliflower, Cross Valley Farms Southern Style Skinless Russet Potato 5/8” Diced [Potatoes, Dextrose, Disodium Pyrophosphate (Added to Maintain Color), Potassium Sorbate (Added to Maintain Freshness)], Green Beans, Green Peas, Green and Red Bell Pepper, Turmeric, Ginger, Cayenne (Red Pepper), Spanish Paprika [Paprika and less than 2% Silicon Dioxide to Prevent Caking.], Cumin, Coriander, ), Woodland Foods Garam Masala [Spices (including Cumin, Coriander, Cinnamon, Cardamom, Ground Black Pepper, and Cloves), Turmeric, Canola Oil], Monarch Curry Powder [Spices, Turmeric (As Color), Salt, Red Pepper, Spice Extract.], Morton Coarse Kosher Salt [Salt, Yellow Prussiate of Soda]], Glenview Farms Heavy Whipping Cream 36% Butterfat [Heavy Cream (Milk), Milk, contains less than 0.5% of: Carrageenan, Mono and Diglycerides, Polysorbate 80.], Glenview Farms Unsalted Butter [Pasteurized Cream, Natural Flavorings. Contains: Milk.], Cilantro, Water, Monarch White Granulated Cane Sugar. Contains: Milk, Soybean Oil",,,,,,,,,,,,,,,,,,,,,,,,
Baked Falafel ,,,,,,X,,,distilled,,,,,,,,,,,X,,,,,,,,,,,lemon,,,,,,,X,X,,,,,,,,,,,,,"Chef’s Line Parfried Gluten-Free Falafel [Green Garbanzo Beans, Garbanzo Beans, Onions, Chickpea Flour, Parsley, Canola Oil, Olive Oil, Sea Salt, Vinegar, Garlic Powder, Cumin, Spices, Lemon Juice Concentrate, Baking Powder (Monocalcium Phosphate, Sodium Bicarbonate, Corn Starch), Black Pepper], Vegalene Top 9 Allergen Free Canola Pan Spray [Canola Oil, Canola Lecithin, Mono - and Diglycerides, Natural Flavor, and Propellant]  ",,,,,,,,,,,,,,,,,,,,,,,,
Vegetable Samosa,,,,,,,,X,,,,,,,,,,,X,X,,,,,X,,,X,,,"lime, mango",,,,,,,,,,X,,,,,,,,,,,"Monsoon Kitchens Vegetable Samosa [Pastry: Unbleached Enriched Wheat Flour (Wheat Flour, Niacin, Reduced Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Water, Canola Oil, Chickpea Flour (Split Chana Dal Flour), Salt, Dextrose. FILLING: Potatoes (Potatoes, Dextrose, Disodium Pyrophosphate [maintains color]), Green Peas, Canola Oil, Spices, Cilantro, Ginger, Jalapeño Peppers, Salt, Lime Juice, Mango Powder, Black Salt, Turmeric. CHUTNEY: Sugar, Water, Tamarind Concentrate, Spices, Salt, Black Salt, Mango Powder.]. Contains: Wheat",,,,,,,,,,,,,,,,,,,,,,,,
 Sauces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Tzatziki Sauce (.25oz),,,,X,,X,,X,,X,,,,,coconut oil,,,,,,,,,,X,,,,,,"Citric Acid, lemon",X,,X,,,,X,,,,,,,,,,,,,,"Kronos Foods Central Products  Tzatziki Sauce [Water, Hydrogenated Coconut Oil, Nonfat Dry Milk, Cucumbers, Contains Less Than 2% of Modified Food Starch, Guar Gum, Mono And Diglycerides, Locust Bean Gum, Carrageenan, Lactic Acid, Citric Acid, Natural Flavor, Granulated Garlic, Salt, Garlic, Lemon Juice Concentrate, Sugar, Potassium Sorbate.]. Contains: Tree Nuts (Coconut Oil), Milk",,,,,,,,,,,,,,,,,,,,,,,,
Garlic Sauce,,X,,,,X,,,distilled,,,X,,,,,,,,,,,,,,,,,,,lemon,,,,,,,X,,,,X,,,,,,,,,,"Tulkoff Chopped Garlic in Oil (Garlic, Water, Soybean Oil, Phosphoric Acid Preservative. Contains: Naturally Occurring Sulfites), Roseli Canola/ Extra Virgin Olive Oil Thirster Reconstituted Lemon Juice [Filtered Water, Lemon Juice Concentrate, Sodium Bisulfite (Preservative), Sodium Benzoate (Preservative) and Lemon Oil.], Harvest Value Extra-Heavy-Duty Mayonnaise [Soybean Oil, Distilled Vinegar, Egg Yolk, Water, High Fructose Corn Syrup, contains less than 2% of Salt, Mustard Bran, Calcium Disodium EDTA (to protect flavor). Contains Egg.], Morton Coarse Kosher Salt (Salt, Yellow Prussiate of Soda)]. Contains: Egg, Soybean Oil",,,,,,,,,,,,,,,,,,,,,,,,
Salad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greek Salad(6oz),,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,"Romaine Lettuce, Grape Tomato, Red Onion, Lindsay Stuffed Green Manzanilla Olive [Manzanilla Olives, Water, Salt, Pimiento, Lactic Acid, Sodium Alginate, Guar Gum, Calcium Chloride and Potassium Sorbate as Preservative.]",,,,,,,,,,,,,,,,,,,,,,,,
Vinegar and Oil (2Tbsp),,,,,,,,,distilled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Heinz Distilled White Vinegar [Distilled White Vinegar Diluted with Water To 5% (50 Grains) Acidity.], Roseli Canola/Extra Virgin Olive Oil",,,,,,,,,,,,,,,,,,,,,,,,
Sides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tabouli,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,lemon,,X,,,,,,X,,,,,,,,,,,,,"Steakhouse-SG White Wheat Tabbouleh (Bulgar Wheat), Water, Roseli Canola/ Extra Virgin Olive Oil Thirster Reconstituted Lemon Juice [Filtered Water, Lemon Juice Concentrate, Sodium Bisulfite (Preservative), Sodium Benzoate (Preservative) and Lemon Oil.], Parsley, Yellow Onion, Tomatoes, Morton Coarse Kosher Salt (Salt, Yellow Prussiate of Soda). Contains: Wheatl",,,,,,,,,,,,,,,,,,,,,,,,
Basmati Rice (4oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Basmati Rice, Water, Morton Coarse Kosher Salt (Salt, Yellow Prussiate of Soda).",,,,,,,,,,,,,,,,,,,,,,,,
Roasted Red Pepper Hummus,,,,,,,,X,,,,X,,,,,,X,,X,,,,,,,,,,,citric acid,,,,X,,,X,,X,,,,,,,,,,,,"Kronos Central Product Roasted Red Pepper Hummus [Chickpeas (Chickpeas, Water), Water, Olive Oil, Soybean Oil, Canola Oil and/or Sunflower Oil, Roasted Red Peppers, Sesame Tahini, contains 2% or less of: Sea Salt, Citric Acid, Spices, Natural Roasted Garlic Flavor, Sodium Benzoate and Potassium Sorbate to Preserve Freshness. Contains Sesame Seeds]. Contains: Sesame, Soybean Oil",,,,,,,,,,,,,,,,,,,,,,,,
Plain Hummus,,,,,,,,X,,,,X,,,,,,X,,,,,,,,,,,,,citric acid,,,,X,,,X,,,,,,,,,,,,,,"Kronos Central Product Plain Hummus [[Chickpeas (Chickpeas, Water), Water, Olive Oil, Soybean Oil, Canola Oil and/or Sunflower Oil, Sesame Tahini, contains 2% or less of: Sea Salt, Citric Acid, Spices, Natural Roasted Garlic Flavor, Sodium Benzoate and Potassium Sorbate to Preserve Freshness. Contains Sesame Seeds]. Contains: Sesame, Soybean Oil",,,,,,,,,,,,,,,,,,,,,,,,
